90,2392,1
3939,1261,1
64,1759,1
289,352,1
3559,55,1
127,792,1
1418,3794,1
142,1291,1
1590,1343,1
1056,3358,1
3416,1387,1
3736,101,1
677,1091,1
3883,1936,1
216,13,1
3827,372,1
1535,3221,1
169,91,1
638,32,1
3514,69,1
453,2836,1
291,241,1
4,57,1
1544,661,1
1613,1571,1
175,397,1
219,335,1
264,1777,1
236,1080,1
768,674,1
215,74,1
2460,858,1
1719,2093,1
146,3321,1
621,597,1
1919,1318,1
263,278,1
627,592,1
2825,15,1
1557,2192,1
542,594,1
783,1690,1
3143,1943,1
1101,390,1
892,17,1
65,387,1
2037,1288,1
207,144,1
2145,3890,1
2628,282,1
2694,3505,1
1757,779,1
329,694,1
2756,1746,1
3301,211,1
2818,3700,1
1209,399,1
2164,1300,1
565,127,1
1468,1868,1
2118,602,1
516,1516,1
2911,226,1
915,358,1
1388,1010,1
448,3364,1
2232,2566,1
23,136,1
3615,541,1
3756,2396,1
1436,2115,1
932,108,1
1691,121,1
1114,2294,1
941,1953,1
2534,1545,1
3186,875,1
490,3514,1
552,453,1
2785,1206,1
3988,2057,1
1072,317,1
1874,1167,1
3498,160,1
1155,598,1
1308,3346,1
532,1804,1
2009,2566,1
2959,282,1
381,133,1
3346,2275,1
2597,3130,1
2926,13,1
720,1612,1
1427,2814,1
1804,2332,1
2138,4,1
3389,159,1
2225,1297,1
2085,1126,1
2692,70,1
3737,909,1
2350,1860,1
3924,18,1
348,15,1
100,2212,1
577,364,1
3677,84,1
1340,986,1
2689,2720,1
3535,151,1
2439,228,1
452,3,1
623,716,1
2535,1097,1
675,74,1
2349,2252,1
2152,1197,1
480,2923,1
67,32,1
3310,513,1
332,2149,1
936,3574,1
189,1063,1
335,893,1
1045,2344,1
2983,565,1
1806,102,1
3381,101,1
2952,345,1
2826,1619,1
796,1035,1
3684,9,1
1975,549,1
1445,507,1
905,2635,1
1754,7,1
2151,2946,1
200,3529,1
2974,641,1
2727,1265,1
1612,3992,1
1157,1361,1
1145,2574,1
897,1160,1
1327,411,1
2318,654,1
2297,102,1
1083,12,1
928,312,1
1986,150,1
2375,1938,1
3406,1758,1
3896,1935,1
852,3792,1
1205,1597,1
493,2593,1
1138,3640,1
2500,854,1
3364,46,1
3287,82,1
3647,2399,1
2794,141,1
1627,31,1
2317,170,1
705,477,1
2159,662,1
1548,135,1
3005,110,1
3280,1748,1
3120,1493,1
2925,2448,1
3513,1556,1
2643,125,1
2312,211,1
513,1231,1
179,3875,1
193,2552,1
1486,3869,1
3990,137,1
3846,2592,1
1622,2100,1
1288,2764,1
1802,750,1
16,831,1
94,1821,1
3576,88,1
1863,618,1
1958,2262,1
398,383,1
522,1633,1
1261,3346,1
25,100,1
1513,2264,1
2663,1358,1
2332,98,1
1957,1519,1
217,476,1
3975,664,1
3819,3977,1
1027,705,1
628,661,1
1413,1556,1
158,65,1
423,2465,1
3574,515,1
3887,573,1
1200,3356,1
1520,282,1
2108,445,1
1775,3416,1
871,75,1
3529,2307,1
2992,2811,1
650,923,1
3791,3142,1
1554,3889,1
3068,22,1
2638,59,1
2657,3654,1
2946,2018,1
1069,121,1
1158,1774,1
3268,1164,1
1948,510,1
3889,638,1
315,472,1
2530,1947,1
3713,311,1
148,857,1
3858,38,1
898,1787,1
2471,160,1
360,50,1
3270,1780,1
457,472,1
3899,5,1
1367,1271,1
1120,1432,1
2819,1045,1
1159,939,1
3499,128,1
931,178,1
3538,1261,1
3951,981,1
1539,1283,1
1951,2502,1
3323,1097,1
1566,2762,1
450,3116,1
806,70,1
2200,3166,1
1318,50,1
240,65,1
3367,814,1
1469,478,1
960,1837,1
3375,650,1
757,2264,1
371,332,1
2307,499,1
130,917,1
2531,248,1
2293,3753,1
1139,3504,1
3315,31,1
3299,1709,1
2527,2018,1
276,97,1
880,279,1
2352,476,1
2812,267,1
1614,246,1
2254,556,1
3411,1345,1
3272,207,1
3391,918,1
1171,1258,1
2860,1012,1
3849,98,1
273,386,1
2387,2077,1
2510,2147,1
2612,3001,1
2216,325,1
1583,341,1
1322,3598,1
2410,15,1
3693,20,1
2264,1268,1
2949,541,1
1465,453,1
2032,272,1
3398,73,1
2144,89,1
2315,1933,1
1845,1049,1
2482,3791,1
460,958,1
794,321,1
3074,3443,1
1555,469,1
567,422,1
1088,1109,1
378,35,1
1358,614,1
2089,668,1
3378,3,1
630,519,1
197,96,1
2044,1441,1
3465,985,1
3108,3252,1
648,1473,1
2875,3195,1
3009,217,1
1278,75,1
2821,780,1
384,131,1
1297,2225,1
2299,659,1
103,359,1
2542,1198,1
561,3705,1
1504,1280,1
842,94,1
2957,3916,1
2378,244,1
2040,951,1
2704,131,1
3522,781,1
1264,246,1
3623,1026,1
3598,834,1
2498,207,1
3978,709,1
3253,1552,1
878,139,1
438,110,1
1449,937,1
2555,2821,1
2456,338,1
2302,31,1
2292,963,1
520,1565,1
1368,335,1
287,851,1
1230,831,1
2002,253,1
1815,527,1
3443,85,1
3734,539,1
3318,287,1
73,2168,1
3867,241,1
2746,1187,1
1943,546,1
1905,831,1
323,490,1
970,876,1
848,1156,1
316,73,1
3742,12,1
1731,405,1
